sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"RX-700","4K60Hz 4:2:0 HDBaseT Receiver","Camera / Capture","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX3-100","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT 3.0 Receiver","","Unclassified","Product","General AV","medium","General fallback classification"
"RX3-100","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT 3.0 Receiver","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"RXF-300-4K","4K60Hz 4:4:4 Fiber Receiver","","Unclassified","Product","General AV","medium","General fallback classification"
"RXF-300-4K","4K60Hz 4:4:4 Fiber Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-35-4K","4K60Hz 4:4:4 HDBaseT Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-35-4K","4K60Hz 4:4:4 HDBaseT Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-35-SCL","4K60Hz 4:4:4 HDBaseT Scaling Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-35-SCL","4K60Hz 4:4:4 HDBaseT Scaling Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-70-4K-G2","4K60Hz 4:4:4 HDBaseT Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-70-4K-G2","4K60Hz 4:4:4 HDBaseT Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-70-G2-SCL","4K60Hz 4:4:4 HDBaseT Scaling Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RXV-70-G2-SCL","4K60Hz 4:4:4 HDBaseT Scaling Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"SP-0104-H2","4K60Hz 4:4:4 1x4 HDMI Splitter","","Unclassified","Product","General AV","medium","General fallback classification"
"SP-0104-H2","4K60Hz 4:4:4 1x4 HDMI Splitter","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"SP-0108-SCL","4K60Hz 4:4:4 1x8 HDMI Splitter","","Unclassified","Product","General AV","medium","General fallback classification"
"SP-0108-SCL","4K60Hz 4:4:4 1x8 HDMI Splitter","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
