sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"EXP-SP-0104-H2","4K60Hz 4:4:4 1x4 HDMI Splitter","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0201-8K","8K60Hz 4:4:4 2x1 HDMI Switcher","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0201-8K","8K60Hz 4:4:4 2x1 HDMI Switcher","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0401-8K","8K60Hz 4:4:4 4x1 HDMI Switcher","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0401-8K","8K60Hz 4:4:4 4x1 HDMI Switcher","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0401-H2","4K60Hz 4:4:4 4x1 HDMI Switcher","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0401-H2","4K60Hz 4:4:4 4x1 HDMI Switcher","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"FOCUS 200 PRO","4K AI Webcam","","Unclassified","Product","General AV","medium","General fallback classification"
"FOCUS 200 PRO","4K AI Webcam","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"HALO 60","Compact USB Speakerphone","","Speaker","Loudspeaker","Audio","high","Speaker naming"
"HALO 60","Compact USB Speakerphone","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"HALO 80","USB/Bluetooth Speakerphone","","Speaker","Loudspeaker","Audio","high","Speaker naming"
"HALO 80","USB/Bluetooth Speakerphone","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"HALO-COM-MIC","Apollo TM companion mic","","HALO","USB/Bluetooth speakerphone or UC audio product","Audio / UC","high","HALO SKU pattern"
"HALO-COM-MIC","Apollo TM companion mic","Unified Comms","HALO","USB/Bluetooth speakerphone or UC audio product","Audio / UC","high","HALO SKU pattern"
"HALO-VX10-V2","HALO Video Bar mini","","Speaker","Loudspeaker","Audio","high","Speaker naming"
"HALO-VX10-V2","HALO Video Bar mini","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"IDB-200-MS","Compact In-Desk Connectivity","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-200-MS","Compact In-Desk Connectivity","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-300","Dual Channel CableBox","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-300","Dual Channel CableBox","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-300-BTN","Dual Channel CableBox","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-300-BTN","Dual Channel CableBox","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-MS","Flip Up In-Desk Connectivity","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-MS","Flip Up In-Desk Connectivity","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-MS-C","Flip Up In-Desk Connectivity","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-MS-C","Flip Up In-Desk Connectivity","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-CBL-SPINE","Under Desk Cable Management 'SPINE' for IDB Series (Adjustable up to 36"")","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-CBL-SPINE","Under Desk Cable Management 'SPINE' for IDB Series (Adjustable up to 36"")","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-HDMI-C","HDMI","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-HDMI-C","HDMI","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-K2-C","Carrier Keystone 2 ports","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-K2-C","Carrier Keystone 2 ports","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-PWR-SCH","2m Wieland to Schuko Power Supply Cable For IDB-MS Series (Schuko Plug)","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-PWR-SCH","2m Wieland to Schuko Power Supply Cable For IDB-MS Series (Schuko Plug)","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-PWR-UK","2m Wieland to UK Power Supply Cable For IDB-MS Series (UK Plug)","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-PWR-UK","2m Wieland to UK Power Supply Cable For IDB-MS Series (UK Plug)","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-RJ45-C","RJ45 CAT6","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-RJ45-C","RJ45 CAT6","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-USBA-C","USB 3.0 type A","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-USBA-C","USB 3.0 type A","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-USBC-C","USB 3.2 type C","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-USBC-C","USB 3.2 type C","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"MX-0402-MST","Synergy 4K60Hz HDR 4x2 HDMI & USB-C Matrix Switcher with MST","","Presentation Switcher","Room core / presentation switcher","Presentation switching","high","MST presentation switcher naming"
"MX-0402-MST","Synergy 4K60Hz HDR 4x2 HDMI & USB-C Matrix Switcher with MST","Presentation / Room Core","Presentation Switcher","Room core / presentation switcher","Presentation switching","high","MST presentation switcher naming"
