"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"APO-SKY-MIC","Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm","Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm","Audio / Control","Accessory / request-only","Audio / Control","Audio / Control","accessory","request-only","exact-sku-override","Designed for seamless integration in conference rooms and lecture halls, these microphones offer a clutter-free solution. Expertly crafted to mount on the ceiling, they ensure your tables remain unencumbered by wires and mics, providing a clean, professional environment for effective communication. Pair with the APO-MIC-EXT to cascade up to 5 times!","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","APO-SKY-MIC; Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm; Accessory; Accessory / request-only; Seamless Switching; Audio / Control",
"APO-VX20-MNT","Display Mount for Apollo VX20 Video Bars - WyreStorm","Display Mount for Apollo VX20 Video Bars - WyreStorm","Accessory","Accessory / request-only","Accessory","Accessory","accessory","request-only","accessory-prefix","Display Mount for use with the Apollo VX20 video bar. Use the mount with your existing display bracket to mount the video bar above or below the display.","Accessory","Accessory","Accessory","Accessory","APO-VX20-MNT; Display Mount for Apollo VX20 Video Bars - WyreStorm; Accessory; Accessory / request-only",
"APO-VX20-UC-V2","Video Bar for Conference Rooms: Advanced Meeting Solution","Video Bar for Conference Rooms: Advanced Meeting Solution","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","Video Bar with camera, microphone, and speakers for seamless meetings. Upgrade your video conferencing experience with an all-in-one solution.","Seamless Switching; Unified Comms","Seamless Switching; Unified Comms","Seamless Switching; Unified Comms","Seamless Switching; Unified Comms","APO-VX20-UC-V2; Video Bar for Conference Rooms: Advanced Meeting Solution; Product; Primary hardware; Seamless Switching; Unified Comms",
"CAB-DAOC-10-C","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED Bringing the wealth of knowledge that WyreStorm has accumulated in hybrid HDMI cables, the DAOC brings the same powerful benefits to DisplayPort system topology. Connecting to PC graphics cards or high performance media playback systems, the DAOC is ready for content up to 8K/60 at 8-bit 4:4:4 plus support for HDR-10. The WyreStorm DAOC can extend super high-bandwidth video with up to 32 channels of PCM audio up to 10m/33ft using the very latest in active optical transmission technology.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-DAOC-10-C; 32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-DAOC-10-P","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED Bringing the wealth of knowledge that WyreStorm has accumulated in hybrid HDMI cables, the DAOC brings the same powerful benefits to DisplayPort system topology. Connecting to PC graphics cards or high performance media playback systems, the DAOC is ready for content up to 8K/60 at 8-bit 4:4:4 plus support for HDR-10. The WyreStorm DAOC can extend super high-bandwidth video with up to 32 channels of PCM audio up to 10m/33ft using the very latest in active optical transmission technology.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-DAOC-10-P; 32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-HAOC-15-C","Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm","Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is a 4K and 5K HDR-ready HDMI cable that is designed for the next generation of 4K and 5K HDR content.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-HAOC-15-C; Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is an HDMI cable that has been designed for 4K and 5K HDR content.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-HAOC-15-P; 24Gbps 4-core Active Optical HDMI Cable | WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-HAOC-20","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is a high-quality HDMI cable that is designed for watching 4K and 5K HDR content.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-HAOC-20; Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-HAOC-20-C","Active Optical HDMI Cable | 4K HDR| WyreStorm","Active Optical HDMI Cable | 4K HDR| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is a 4K and 5K HDR HDMI cable designed for the future generation of 4K and 5K HDR entertainment.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-HAOC-20-C; Active Optical HDMI Cable | 4K HDR| WyreStorm; Cable; Cable / request-only; HDMI",
"CAB-HAOC-20-P","Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm","Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is a state-of-the-art HDMI cable designed to provide the best possible experience for 4K and 5K HDR content.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","CAB-HAOC-20-P; Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm; Cable; Cable / request-only; HDMI",
