"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"EX-70-H2X","70m 4K60 HDBaseT Extender with Ethernet - WyreStorm","70m 4K60 HDBaseT Extender with Ethernet - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","DISCONTINUED Extending 4K UHD content at 4:4:4/60 up to 70m/230ft, the EX-70-H2X is compatible with the latest HDR standards including HDR-10 and HLG up to 60Hz; Dolby Vision is supported at 30Hz. Powerful Class A HDBaseT transmission means Ethernet, IR & RS-232 are also supported, with the addition of 2-way PoH for flexible installation options. The HDMI loop-output means that source content can be sent to multiple locations by simply cascading the signal to additional extenders or switchers.","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","EX-70-H2X; 70m 4K60 HDBaseT Extender with Ethernet - WyreStorm; Product; Primary hardware; HDBaseT; HDMI; Extender / HDBaseT; Endpoint hardware",
"EX3-100-EARC","WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC","WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC offers seamless high-definition audio/video transmission over long distances for an enhanced entertainment experience.","HDBaseT; Seamless Switching; Extender / HDBaseT","HDBaseT; Seamless Switching; Extender / HDBaseT","HDBaseT; Seamless Switching; Extender / HDBaseT","HDBaseT; Seamless Switching; Extender / HDBaseT","EX3-100-EARC; WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC; Product; Primary hardware; HDBaseT; Seamless Switching; Extender / HDBaseT; Endpoint hardware",
"EXA-100-EARC","WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable","WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","WyreStorm EXA-100-EARC extends eARC, ARC, and S/PDIF audio up to 100m with IR, RS-232, and CEC pass-through. Ideal for home theaters and multi-room AV.","Extender / HDBaseT","Extender / HDBaseT","Extender / HDBaseT","Extender / HDBaseT","EXA-100-EARC; WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable; Cable; Cable / request-only; Extender / HDBaseT; Endpoint hardware",
"EXF-10KM-5K","5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm","5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","The EXF-10KM-5K Fiber Extender is a high-performance extender based on the SDVoE solution, specifically designed to transmit uncompressed 5120x1440p video and high-fidelity audio up to 10 kilometers (10KM) over a 10G fiber link. Its key advantage is zero end-to-end latency (<120mu s), which is critical for real-time applications, combined with robust support for HDMI 2.0 and HDCP 2.2 standards, including high frame rates (up to 240Hz for 1080p). Built from durable sheet steel with secure screw-lock power connectors...","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","EXF-10KM-5K; 5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm; Product; Primary hardware; HDMI; Extender / HDBaseT; Endpoint hardware",
"EXF-300-H2","WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber","WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Buy the WyreStorm EXF-300-H2 4K HDMI fiber extender to transmit pristine 4K HDR video over long distances with ultra-low latency, reliable fiber performance, and professional-grade signal quality for commercial and AV installations.","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","HDMI; Extender / HDBaseT","EXF-300-H2; WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber; Product; Primary hardware; HDMI; Extender / HDBaseT; Endpoint hardware",
"EXP-4KUHD-X","4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm","4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","WyreStorm HDMI cables are designed to meet the high bandwidth requirements demanded by the latest 4K UHD devices in commercial and residential applications. Our cables are tested to ensure continued compatibility with all 4K UHD and HD devices and provide a lifetime of perfect device connectivity.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-4KUHD-X; 4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-8KUHD-X","8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm","8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","Our 8K HDMI cables are designed to meet the Ultra high bandwidth requirements demanded by the latest 8K UHD devices in commercial and residential applications. Our cables are tested to ensure continued compatibility with all 8K@60Hz and 4K@120Hz high refresh rated devices and provide a lifetime of perfect device connectivity.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-8KUHD-X; 8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-CAB-HAOC-2","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED The WyreStorm HAOC is a next generation HDMI cable designed for the next generation of 4K HDR content. It offers a unique feature set in both delivering uncompressed HDMI content at up to 24Gbps and compatibility with emerging HDMI technologies such as ALLM (Auto Low Latency Mode) & VRR (Variable Refresh Rate) using the latest in optical transmission technology. Now established as the most powerful form of HDMI extension, WyreStorm active optical cables offer the best of both worlds: pixel-perfect long...","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-CAB-HAOC-2; 24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-CAB-HAOC-4","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED The WyreStorm HAOC is a next generation HDMI cable designed for the next generation of 4K HDR content. It offers a unique feature set in both delivering uncompressed HDMI content at up to 24Gbps and compatibility with emerging HDMI technologies such as ALLM (Auto Low Latency Mode) & VRR (Variable Refresh Rate) using the latest in optical transmission technology. Now established as the most powerful form of HDMI extension, WyreStorm active optical cables offer the best of both worlds: pixel-perfect long...","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-CAB-HAOC-4; 24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-CAB-HAOC-6","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED The WyreStorm HAOC is a next generation HDMI cable designed for the next generation of 4K HDR content. It offers a unique feature set in both delivering uncompressed HDMI content at up to 24Gbps and compatibility with emerging HDMI technologies such as ALLM (Auto Low Latency Mode) & VRR (Variable Refresh Rate) using the latest in optical transmission technology. Now established as the most powerful form of HDMI extension, WyreStorm active optical cables offer the best of both worlds: pixel-perfect long...","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-CAB-HAOC-6; 24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-CAB-HAOC-8","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The WyreStorm HAOC is a 4K HDMI cable with a higher bandwidth that's designed to work with future-generation 4K HDR video.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-CAB-HAOC-8; Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-CAB-USBC-5M","USB 3.2 USB-C to USB-C Cable| WyreStorm","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","This USB-C to C cable is a great choice for transmitting data and audio/video. It can handle speeds up to 20Gbps, making it perfect for quickly transferring files or connecting devices that use USB 3.0.","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","EXP-CAB-USBC-5M; USB 3.2 USB-C to USB-C Cable| WyreStorm; Cable; Cable / request-only; USB-C; USB",
"EXP-CAB-USBC-XM","USB 3.2 USB-C to USB-C Cable| WyreStorm","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","This USB-C to C cable is a great choice for transmitting data and audio/video. It can handle speeds up to 20Gbps, making it perfect for quickly transferring files or connecting devices that use USB 3.0.","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","EXP-CAB-USBC-XM; USB 3.2 USB-C to USB-C Cable| WyreStorm; Cable; Cable / request-only; USB-C; USB",
"EXP-CON-AUD-H2","WyreStorm Essentialsâ„¢ HDMI Audio Extractor| WyreStorm","WyreStorm Essentialsâ„¢ HDMI Audio Extractor| WyreStorm","Audio / Control","Primary hardware","Audio / Control","Audio / Control","primary-hardware","default","audio-rule","The WyreStorm EXP-CON-AUD-H2 is an excellent plug and play 4K audio de-embed solution that supports full 18Gbps HDMI and HDCP 2.2 compatibility.","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","EXP-CON-AUD-H2; WyreStorm Essentialsâ„¢ HDMI Audio Extractor| WyreStorm; Product; Primary hardware; HDMI; Audio / Control",
"EXP-CON-DAC","WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm","WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","The WyreStorm Essentials EXP-CON-DAC is a device that converts digital audio signals into analog stereo sound.","Accessory","Accessory","Accessory","Accessory","EXP-CON-DAC; WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm; Product; Primary hardware; Accessory",
"EXP-CON-DAC-D","WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm","WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm","Audio / Control","Primary hardware","Audio / Control","Audio / Control","primary-hardware","default","audio-rule","The WyreStorm EXP-CON-DAC-D is a Digital to Analogue Audio Converter that downmixes S/PDIF audio encoded as Dolby Digital 5.1 from a suitable coaxial or TOSLINK audio source to analogue stereo.","Audio / Control","Audio / Control","Audio / Control","Audio / Control","EXP-CON-DAC-D; WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm; Product; Primary hardware; Audio / Control",
"EXP-CON-H2-DD","WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm","WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm","Audio / Control","Primary hardware","Audio / Control","Audio / Control","primary-hardware","default","audio-rule","The EXP-CON-H2-DD is a great audio tool that everyone should have. It can take Dolby True HD or DTS-HD 7.1 audio signals from an HDMI source and downmix them to RCA stereo analog.","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","EXP-CON-H2-DD; WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm; Product; Primary hardware; HDMI; Audio / Control",
"EXP-EX-35-G2","WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm","WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","The EXP-EX-35-G2 has a transmission rate of 18Gbps. This indicates it may be used with ProAV extenders! It also takes up less space and is more cost effective in its smaller form.","Accessory","Accessory","Accessory","Accessory","EXP-EX-35-G2; WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm; Product; Primary hardware; Accessory",
"EXP-EX-80-KVM","WyreStorm Essentials 80m KVM UTP Extender - WyreStorm","WyreStorm Essentials 80m KVM UTP Extender - WyreStorm","Accessory","Accessory / request-only","Accessory","Accessory","accessory","request-only","accessory-text-rule","DISCONTINUED The WyreStorm EXP-EX-80-KVM is a plug and play HDMI and KVM extender, capable of sending up to resolutions of 1080p@60Hz and HID (Human Interface Device) up to 80m (262ft) over a single CAT5e/6 cable. Additionally, it supports bidirectional POC (Power Over Cable) for powering at either the transmitter or the receiver with only one power adapter, making installations quick and effortless. Perfect use in office, home and presentation settings to extend HD video and USB keyboard and mouse from a local zon...","USB; HDMI; Accessory","USB; HDMI; Accessory","USB; HDMI; Accessory","USB; HDMI; Accessory","EXP-EX-80-KVM; WyreStorm Essentials 80m KVM UTP Extender - WyreStorm; Cable; Cable / request-only; USB; HDMI; Accessory; Accessory / request-only",
"EXP-HDMI-10.0M","10 Meter High Speed HDMI Cable | WyreStorm","10 Meter High Speed HDMI Cable | WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","HDMI cables from WyreStorm are tested to work with high-definition audio and video signals without affecting quality or distorting.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-10.0M; 10 Meter High Speed HDMI Cable | WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-15.0M","WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm","WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The HDMI cables from Belden are the finest option for connecting 4K or HD devices over HDMI from 0.5m/1.6ft to 15m/49ft in high-quality, sturdy, and inexpensive manner.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-15.0M; WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-CPL","WyreStorm Essentials HDMI Coupler - WyreStorm","WyreStorm Essentials HDMI Coupler - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED The EXP-HDMI-CPL is perfect for scenarios where the embedded HDMI cable is not long enough and the cable cannot be replaced with a longer cable.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-CPL; WyreStorm Essentials HDMI Coupler - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-DVI","WyreStorm Essentials DVI to HDMI - WyreStorm","WyreStorm Essentials DVI to HDMI - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The EXP-HDMI-DVI is a two-way adapter that can either convert HDMI signals to DVI-D signals or DVI-D signals to HDMI signals and is compatible with a variety of HDMI sources and DVI displays.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-DVI; WyreStorm Essentials DVI to HDMI - WyreStorm; Product; Primary hardware; HDMI; Cable; Cable / request-only",
"EXP-HDMI-H2-0.5M","HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm","HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","WyreStorm HDMI cables were created to fulfill the high-bandwidth requirements necessitated by current 4K UHD devices for both business and home applications.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-H2-0.5M; HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-H2-1M","HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm","HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","WyreStorm's 4K UHD HDMI cables are perfect for commercial and residential use with today's latest devices.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-H2-1M; HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-H2-2M","HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm","HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The high bandwidth requirements of the newest 4K UHD devices in commercial and residential environments are met by WyreStorm HDMI cables.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-H2-2M; HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-H2-3M","HDMI Cable with CL3 Rating (3m/9.8ft)| WyreStorm","HDMI Cable with CL3 Rating (3m/9.8ft)| WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","WyreStorm HDMI cables are specifically engineered to work well with 4K UHD devices, which have high bandwidth requirements. Commercial and residential applications can both benefit from using these cables.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-H2-3M; HDMI Cable with CL3 Rating (3m/9.8ft)| WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-H2-5M","HDMI Cable with CL3 Rating | WyreStorm","HDMI Cable with CL3 Rating | WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","WeftStorm HDMI cables are designed to satisfy the stringent bandwidth needs of the newest 4K UHD devices in business and residential settings.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-H2-5M; HDMI Cable with CL3 Rating | WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-RTA","WyreStorm Essentials Right Angle HDMI Adapter - WyreStorm","WyreStorm Essentials Right Angle HDMI Adapter - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","DISCONTINUED The WyreStorm HDMI right angled adapter is designed to convert a straight HDMI cable into a 90-degree connection. Ideal for tight spaces like behind low profile flatscreen TV mounts, or in a tight cupboard space.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-RTA; WyreStorm Essentials Right Angle HDMI Adapter - WyreStorm; Cable; Cable / request-only; HDMI",
"EXP-HDMI-USBC","WyreStorm Essentials USB-C to HDMI - WyreStorm","WyreStorm Essentials USB-C to HDMI - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The EXP-HDMI-USBC is a passive adapter that converts USB-C audio and video from a connected PC or USB-C smart device to HDMI, allowing the user to mirror or extend to UHD displays with resolutions of up to 4K@60Hz.","USB-C; USB; HDMI; Cable","USB-C; USB; HDMI; Cable","USB-C; USB; HDMI; Cable","USB-C; USB; HDMI; Cable","EXP-HDMI-USBC; WyreStorm Essentials USB-C to HDMI - WyreStorm; Product; Primary hardware; USB-C; USB; HDMI; Cable; Cable / request-only",
"EXP-HDMI-VGA","HDMI VGA Extender Essentials VGA to HDMI | WyreStorm","HDMI VGA Extender Essentials VGA to HDMI | WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","HDMI VGA Extender - The WyreStorm EXP-HDMI-VGA is an active adapter that converts legacy analog VGA signals to digital HDMI for compatibility with HD and UHD displays.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-VGA; HDMI VGA Extender Essentials VGA to HDMI | WyreStorm; Product; Primary hardware; HDMI; Cable; Cable / request-only",
"EXP-HDMI-XM-8K","WyreStorm EXPâ€‘HDMIâ€‘XMâ€‘8K 8K HDMI Cable â€“ Ultraâ€‘High Speed HDMI 2.1","WyreStorm EXPâ€‘HDMIâ€‘XMâ€‘8K 8K HDMI Cable â€“ Ultraâ€‘High Speed HDMI 2.1","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","Buy the WyreStorm EXPâ€‘HDMIâ€‘XMâ€‘8K ultraâ€‘highâ€‘speed HDMI 2.1 cable designed for uncompressed 8K@60Hz and 4K@120Hz video, HDR support, eARC and futureâ€‘proof performance for premium AV installs.","HDMI; Cable","HDMI; Cable","HDMI; Cable","HDMI; Cable","EXP-HDMI-XM-8K; WyreStorm EXPâ€‘HDMIâ€‘XMâ€‘8K 8K HDMI Cable â€“ Ultraâ€‘High Speed HDMI 2.1; Cable; Cable / request-only; HDMI",
"EXP-MX-0402-H2","WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm","WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","A vast upgrade from its predecessor, the EXP-MX-0402-H2 takes the EXP-MX0402-010 features to new heights, whilst maintaining its cost effect platform. Keeping up with the latest standards, the EXP-MX-0402-H2 has been upgraded to an 18Gbps backbone with HDCP 2.2 compliance and now featuring a powerful built-in auto scaler on both of its outputs allowing users to simultaneously connect a mix of 4K and 1080p displays. If that wasnâ€™t enough, the EXP-MX-0402-H2 also includes analog and digital audio de-embed and ARC, as...","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","EXP-MX-0402-H2; WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDMI; Scaling; Accessory; Primary hardware",
"EXP-MX-0404-H2","WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm","WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","DISCONTINUED The WyreStorm EXP-MX-0404-H2 is a powerful plug and play 4K matrix switcher solution. With 18Gbps pure HDMI support, the EXP-MX-404-H2 allows up to four UHD 4K sources to be independently routed to four UHD displays. Each Output has the capability to scale 4K content down to connected 1080p displays without affecting the 4K source. Furthermore, source audio breakout via digital coax supports to 5.1, which can be sent to an AVR for audio distribution. Additionally, the EXP-MX-0404-H2 boasts an enhance A...","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","Matrix; Switching; HDMI; Scaling; Accessory","EXP-MX-0404-H2; WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDMI; Scaling; Accessory; Primary hardware",
"EXP-MX-0808-KIT","4K 8x8 HDBaseT Matrix with Receivers - WyreStorm","4K 8x8 HDBaseT Matrix with Receivers - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","DISCONTINUED An established leader in AV matrix solutions, WyreStorm introduces an 8x8 form factor as a convenient kit for the first time. Offering transmission of HDMI content up to 4K UHD & HDR content to 35m/115ft, pairing HDBaseT with WyreStorm's powerful crosspoint HDMI switching chipset. The EXP-MX-0808-KIT has 6 HDBaseT zone outputs with PoH and 2 switched HDMI outputs which can be paired with WyreStorm's HAOC hybrid optical HDMI cables or any extender for transmission via HDBaseT or OM3 fiber. The EXP-MX-08...","Matrix; Switching; HDBaseT; HDMI; Accessory","Matrix; Switching; HDBaseT; HDMI; Accessory","Matrix; Switching; HDBaseT; HDMI; Accessory","Matrix; Switching; HDBaseT; HDMI; Accessory","EXP-MX-0808-KIT; 4K 8x8 HDBaseT Matrix with Receivers - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; HDMI; Accessory; Primary hardware",
"EXP-SP-0102-8K","WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm","WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","Our EXP-SP-0102-8K packs a punch as it is a powerful plug-and-play 8K HDMI splitter that has the ability to send uncompressed up to 8K@60Hz or 4K@120Hz up to two displays, but the most useful feature of this splitter is that the second output can scale content down from either 8K>4K or 4K>1080p! Furthermore, its compatible with DSC (Display Stream Compression) version 1.2a pass-through, an approved method of compression in accordance to the HDMI 2.1 specification, allowing up to a lossless 10K@120Hz signal to be tr...","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","EXP-SP-0102-8K; WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm; Product; Primary hardware; HDMI; Scaling; Splitter / Distribution",
"EXP-SP-0102-H2","WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm","WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","The latest addition to the WyreStorm Essentials splitter range, the EXP-SP-0102-H2 now offers H2 features and the same value and reliability found in its predecessor, not to mention a few new tricks up its sleeve! Upgrades to support of the full 18Gbps bandwidth HDMI 2.0 offers; 2160p@60Hz 4:4:4 and support for Dolby Visionâ„¢ included. As if that wasnâ€™t enough, the EXP-SP-0102-H2 is now featuring a powerful built-in scaler, allowing users to simultaneously connect a mix of 4K and 1080p displays, which gives the sour...","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","EXP-SP-0102-H2; WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm; Product; Primary hardware; HDMI; Scaling; Splitter / Distribution",
