manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
AVPro Edge,AC-EX40-444-KIT,AC-EX40-444-KIT,,,,,needs-evidence,sku-seed,,,,,,,,,[],[],[],[],[],{},,,,,low,,,,,[],,,,,,,
AVPro Edge,AC-EX70-444-KIT,AC-EX70-444-KIT,,HDBASET,,transmitter,review,curated-fingerprint,,,,4K60,4:4:4,HDBASET,,,[],[],[],[],"{""hdbtOutput"":true,""receiverKit"":true}",{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""acex70444kit"",""acex70""]",,,,,,,
AVPro Edge,AC-EX70-444-R3,AC-EX70-444-R3,,,,,needs-evidence,sku-seed,,,,,,,,,[],[],[],[],[],{},,,,,low,,,,,[],,,,,,,
AVPro Edge,AC-MX-42X,AC-MX-42X,,,,,needs-evidence,sku-seed,,,,,,,,,[],[],[],[],[],{},,,,,low,,,,,[],,,,,,,
AVPro Edge,AC-MX-44HDBT,AC-MX-44HDBT,,MATRIX,,Matrix,review,curated-fingerprint,,4,4,4K60,4:4:4,MATRIX,,,[],[],[],[],[],{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""acmx44hdbt"",""acmx44""]",,,,,,,
AVPro Edge,AC-MX-88,AC-MX-88,,MATRIX,,Matrix,review,curated-fingerprint,,8,8,4K60,4:4:4,MATRIX,,,[],[],[],[],[],{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""acmx88"",""acmx1616"",""acmx108""]",,,,,,,
AVPro Edge,MXNet-10G-TCVR,MXNet-10G-TCVR,,AVOIP,,Transceiver,review,curated-fingerprint,,1,1,4K60,4:4:4,AVOIP,,,[],[],[],[],"{""tenGig"":true,""zeroLatency"":true,""lossless"":true,""usbRouting"":true}",{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""mxnet10gtcvr""]",,,,,,,
AVPro Edge,MXNet-1G-D,MXNet-1G-D,,AVOIP,,Decoder,review,curated-fingerprint,,1,1,4K60,,AVOIP,,,[],[],[],[],"{""usbRouting"":true}",{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""mxnet1gd""]",,,,,,,
AVPro Edge,MXNet-1G-E,MXNet-1G-E,,AVOIP,,Encoder,review,curated-fingerprint,,1,1,4K60,,AVOIP,,,[],[],[],[],"{""usbRouting"":true}",{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""mxnet1ge""]",,,,,,,
