"RelativePath","Exists","Action"
"src\components\roomWizard\outputs\OutputConfigCard.tsx","True","Archived"
"src\components\roomWizard\StepDisplay.tsx","True","Archived"
"src\components\roomWizard\StepMultiMonitor.tsx","True","Archived"
"src\components\roomWizard\StepSources.tsx","True","Archived"
"src\components\roomWizard\videoWall\StepSummary.tsx","True","Archived"
"src\components\roomWizard\videoWall\StepTechnology.tsx","True","Archived"
"src\components\roomWizard\VideoWallWizardModal.tsx","True","Archived"
"src\components\templateBrowser\DefaultThemeBrowser.tsx","True","Archived"
"src\data\themes.ts","True","Archived"
