sku,lifecycle_status,business_status,do_not_spec,successor,reason,evidence_source,last_reviewed,reviewer
MX-1010-H2XC,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MX-1616-H2XC,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MX-1616-SCL,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0404-H2A-KIT,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0404-H2A-KIT-V2,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0408-H2A,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0408-H2A-KIT,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0606-H2A-70,do-not-spec,do-not-spec,true,,Synced from the existing doNotUse decision in data/wyrestorm-lifecycle-manual-decisions.json: blocked from governed story references and customer-facing recommendation copy.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-07-12,Claude research pass (verified against live wyrestorm.com pages/search)
MXV-0606-H2A-V2,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0606-H2A-V3,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-70-V2,discontinued,discontinued,true,,Product is explicitly marked discontinued/EOL in source evidence or the suppression list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-70-V3,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-KIT,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-MK2,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-V2,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2A-V3,discontinued,discontinued,true,,Product is explicitly marked discontinued/EOL in source evidence or the suppression list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
MXV-0808-H2L,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
