"File","Pattern"
"src\app\shell\AppShell.tsx","@/ui2/nav/MissionControlNav"
"src\app\shell\AppShell.tsx","@/ui2/nav/MissionControlNav"
"src\app\shell\AppShell.tsx","""@/ui2/nav/MissionControlNav"""
