sku,product_name,family,product_type,role,lifecycle_status,do_not_spec,successor,inputs,outputs,transport_type,resolution_bandwidth,usb,audio,control,network_requirement,dependencies,compatible_families,application_fit,disqualifiers,quote_warnings,evidence_source,last_reviewed,reviewer
EX-70-H2C,EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC,Extension,EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-70-H2X,70m 4K60 HDBaseT Extender with Ethernet - WyreStorm,Extension,70m 4K60 HDBaseT Extender with Ethernet - WyreStorm,primary-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-80-KVM,WyreStorm Essentials 80m KVM UTP Extender - WyreStorm,Extension,WyreStorm Essentials 80m KVM UTP Extender - WyreStorm,power-accessory,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX3-100-EARC,WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC,Extension,WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXA-100-EARC,WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable,Extension,WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXF-10KM-5K,5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm,Extension,5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXF-300-H2,WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber,Extension,WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-05,0.5m/1.6ft HDMI 2.0 Cable,Cable / accessory,0.5m/1.6ft HDMI 2.0 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-10,1m/3ft HDMI 2.0 Cable,Cable / accessory,1m/3ft HDMI 2.0 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-20,2m/6.5ft HDMI 2.0 Cable,Cable / accessory,2m/6.5ft HDMI 2.0 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-30,3m/10ft HDMI 2.0 Cable,Cable / accessory,3m/10ft HDMI 2.0 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-50,5m/15ft HDMI 2.0 Cable,Cable / accessory,5m/15ft HDMI 2.0 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-X,4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm,Cables,4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm,cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-8KUHD-05,0.5m/1.6ft HDMI 2.1 Cable,Cable / accessory,0.5m/1.6ft HDMI 2.1 Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-8KUHD-X,8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm,Cables,8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm,cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-1M,1m/3.2ft USB-C to C Cable,Cable / accessory,1m/3.2ft USB-C to C Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-2M,2m/6.5ft USB-C to C Cable,Cable / accessory,2m/6.5ft USB-C to C Cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-5M,5m/16.40ft USB-C to C cable,Cable / accessory,5m/16.40ft USB-C to C cable,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-AUD-H2,WyreStorm Essentials™ HDMI Audio Extractor| WyreStorm,General AV,WyreStorm Essentials™ HDMI Audio Extractor| WyreStorm,system-controller,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-DAC,WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm,General AV,WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm,system-controller,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-DAC-D,WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm,General AV,WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm,system-controller,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
