"RelativePath","Exists","IsWrapper","Action","RescuePath","ArchivePath"
"src\components\ProfileModal.tsx","True","True","Archived","_RESCUE\RepoStructureCleanup_Phase16_20260306_081625\src\components\ProfileModal.tsx","_ARCHIVE\RepoStructureCleanup_Phase16_20260306_081625\src\components\ProfileModal.tsx"
"src\components\FeedbackModal.tsx","True","True","Archived","_RESCUE\RepoStructureCleanup_Phase16_20260306_081625\src\components\FeedbackModal.tsx","_ARCHIVE\RepoStructureCleanup_Phase16_20260306_081625\src\components\FeedbackModal.tsx"
"src\components\ComparisonTray.tsx","True","True","Archived","_RESCUE\RepoStructureCleanup_Phase16_20260306_081625\src\components\ComparisonTray.tsx","_ARCHIVE\RepoStructureCleanup_Phase16_20260306_081625\src\components\ComparisonTray.tsx"
