"Selector","Occurrences","Files"
".wm-template-detail-shell","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wingman-page-host","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] main","3","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] .wm-polish-grid > .wm-navhub-card.wm-polish-card.wm-polish-card","3","src\wingman2\styles\wingman-style-stack.css"
".wm-ui-section","3","src\wingman2\styles\wingman-style-stack.css"
".wm-sh-choice-content","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-ui-card-header","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-option-checkbox","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-template-detail-hero h2","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-detail-hero p:not(.wingman-kicker)","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-proposal-hero","3","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] .wm-polish-grid > .wm-navhub-card.wm-polish-card","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-intro","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""proposal""] .wm-proposal-step-rail","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-compare-page .compare-native-result-summary","3","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] > .wm-navhub-secondary .wm-polish-grid > .wm-navhub-card.wm-polish-card","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wingman-page-host > section:first-of-type","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-cable-schedule","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route] .wm-vs-layout","3","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] .wm-polish-grid > .wm-navhub-card.wm-polish-card > .wm-polish-card-icon.wm-polish-card-icon","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-proposal-meta","3","src\wingman2\styles\wingman-style-stack.css"
".wm-home-page .wm-page-hero h1","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""home""] main.wm-dashboard-page.wm-dashboard-shell.wm-dashboard-visual-root[data-wingman-page=""home""]","3","src\wingman2\styles\wingman-style-stack.css"
".wm-navhub-submodes","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-range-link","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-nav","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""settings""] .wm-page-hero","3","src\wingman2\styles\wingman-style-stack.css"
".wm-route-settings .wingman-page-hero","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""settings""] .wingman-page-hero","3","src\wingman2\styles\wingman-style-stack.css"
".wm-home-page .wm-navhub-secondary-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-rule-card","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-page-stepper","3","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-card-icon svg","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-choice-card","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-choice-body","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-choice-title","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-card h3","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-library-workspace.is-name-only-mode .wm-template-card-grid","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-choice-eyebrow","3","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-shell .wm-polish-grid .wm-polish-card > .wm-polish-card-icon","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
".wm-polish-shell .wm-polish-grid > .wm-polish-card:focus-visible","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-route-settings .wm-page-hero","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-project-stage","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-stage-pill","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-list","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-primary","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-signal-line","3","src\wingman2\styles\wingman-style-stack.css"
"body .wm-pcc-preview .wm-pcc-section-tab","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-signal-node","3","src\wingman2\styles\wingman-style-stack.css"
".wm-discovery-summary-card","3","src\wingman2\styles\wingman-style-stack.css"
"body .wm-pcc-preview","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-two-up","3","src\wingman2\styles\wingman-style-stack.css"
".wm-discovery-step-pills","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-summary-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-system-strip","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-command-band","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-card","3","src\wingman2\styles\wingman-style-stack.css"
".wm-discovery-error-note","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-destination-card:focus-visible","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-decision-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-project-card:focus-visible","3","src\wingman2\styles\wingman-style-stack.css"
".compare-reported-status-rail","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-product-mode .wm-pcc-gallery-strip","3","src\wingman2\styles\wingman-style-stack.css"
".wm-ingest-page","3","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-results-header h2","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-product-mode .wm-pcc-section-tabs","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-conversation-modal-head","3","src\wingman2\styles\wingman-style-stack.css"
".wm-topology-advanced-path-fields","3","src\wingman2\styles\wingman-style-stack.css"
".wm-topology-device-row","3","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-pitch-page-open .wm-product-pitch-result-table .wm-product-pitch-result-card","3","src\wingman2\styles\wingman-style-stack.css"
".wm-coach-funnel-step","3","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-pitch-page-open .wm-product-pitch-result-header","3","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-redesign-page .wm-finder-filter-panel","3","src\wingman2\styles\wingman-style-stack.css"
".wm-ingest-results-grid","3","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 860px)","3","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-result-card","3","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 560px)","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-ingest-request-controls","3","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 620px)","3","src\wingman2\styles\wingman-style-stack.css"
".wm-ingest-capture-layout","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-seed-wide-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-template-seed-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-select-shell .wm-pcc-product-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-search","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-flow","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-result-toolbar > div:first-child","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-glossary-category-row button","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-related button","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-reality-panel","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-cautions li","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-cautions","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-definition-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-definition-grid section","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-cautions h3","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-reported-status-rail","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-reported-status","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-compact-result__warnings","3","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-detail-head p","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-result-toolbar p","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-glossary-term-list button","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-result-toolbar__actions","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-product-pitch-page[data-product-pitch-view=""selector""] .wm-product-pitch-selector::before","3","src\wingman2\styles\wingman-style-stack.css"
"main.wm-product-pitch-page[data-product-pitch-view=""selector""] .wm-product-pitch-selector::after","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-next-copy","3","src\wingman2\styles\wingman-style-stack.css"
".wingman-display","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host .wm-navhub-page.wm-polish-shell .wm-navhub-secondary-grid.wm-polish-grid","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-heading small","3","src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 1280px)","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Call Coach""] .wm-polish-grid > .wm-navhub-card.wm-polish-card","3","src\wingman2\styles\wingman-polish-navigation.css"
".wingman-nav-link-active","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""visual-studio""] ) .wm-vs-right-rail","3","src\wingman2\styles\wingman-workflow-theme.css"
".wingman-layout","3","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 1320px)","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-support-landing","3","src\wingman2\styles\wingman-style-stack.css"
"50%","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-heading","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-product-conversation-card","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
"input","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-project-draft-title","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-topology-location-card","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-card .wm-button","3","src\wingman2\styles\wingman-style-stack.css"
".wm-kpi-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-metric-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-project-detail-nav__actions)","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-tabs button","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-form-grid","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"textarea)","3","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-hero-icon svg","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
".wm-output-panel","3","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Call Coach""]","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-metric","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-templates-page .wm-action-card.wm-template-card","3","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Call Coach""] > .wm-navhub-grid.wm-polish-grid","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-polish-hero-icon","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
".wm-grid-4","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] :is(.wm-project-detail-nav__links","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"dt","3","src\wingman2\styles\wingman-style-stack.css"
".wm-catalog-panel","3","src\wingman2\styles\wingman-style-stack.css"
".card","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".panel","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-guru-fab-image","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
".wingman-guru-fab","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""templates""] .wm-market-rail button","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""templates""] .wm-template-results","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""discovery""] .wm-discovery-capture-page","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".bg-slate-100","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-navhub-page[data-wingman-page-key=""Products""] .wm-polish-card-art","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""dashboard""] .wingman-workspace","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-navhub-page[data-wingman-page-key=""Products""] .wm-polish-card-copy","3","src\wingman2\styles\wingman-polish-navigation.css"
".wingman-page-host.wingman-page-host .wm-navhub-page.wm-polish-shell .wm-polish-grid > .wm-navhub-card.wm-polish-card > .wm-polish-card-copy.wm-polish-card-copy","3","src\wingman2\styles\wingman-polish-navigation.css"
".wingman-guru-fab-glow","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
".wingman-panel","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-link:hover","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-mobile-nav-button","3","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""templates""] .wm-template-card-grid","3","src\wingman2\styles\wingman-workflow-theme.css"
"*::before","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-guru-drawer","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-heading .wm-ui-kicker","3","src\wingman2\styles\wingman-workflow-theme.css"
"*::after","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-reference-quick-grid","3","src\wingman2\styles\wingman-reference-theme.css"
".wm-ui-input)","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-catalog-product-grid","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-route-result-card dl","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-badge","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route] .wingman-page-host .wm-navhub-page > div","3","src\wingman2\styles\wingman-style-stack.css"
".wm-reference-project-grid","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
".wm-reference-dashboard-layout","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
".wingman-page-host .wm-page-title","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-heading h2","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route] .wingman-page-host .wm-navhub-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host .wm-section-title","3","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell > .wm-navhub-grid.wm-polish-grid:has(> .wm-navhub-card:nth-child(3):last-child)","3","src\wingman2\styles\wingman-polish-navigation.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell > .wm-navhub-grid.wm-polish-grid.wm-polish-grid","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""templates""] .wm-template-library-summary","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-brand","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""proposal""] .wm-proposal-wizard-sidebar","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-projects-page","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-manager-header p","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-section-head","3","src\wingman2\styles\wingman-style-stack.css"
"strong","3","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-polish-hero-copy h1","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell > .wm-navhub-grid.wm-polish-grid:has(> .wm-navhub-card:nth-child(5):last-child)","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-ui-title","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-actions","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wingman-page-host","3","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-actions .wm-button","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""templates""] .wm-template-library-create","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-icon","3","src\wingman2\styles\wingman-style-stack.css"
"span)","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""projects""] .wm-projects-compact-actions","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-project-card:hover","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-pitch-page .wm-product-pitch-result-family","3","src\wingman2\styles\wingman-style-stack.css"
".wm-product-pitch-page .wm-product-pitch-result-status","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-manager-header h1","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-card-title","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-toolbar input","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-polish-shell.wm-polish-shell:has(.wm-sh-card-grid) .wm-sh-card-grid.wm-polish-grid > .wm-polish-card.wm-polish-card > .wm-polish-card-copy.wm-polish-card-copy","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-dashboard-resume-title","3","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-section","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-table-card","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""data-manager""] .wm-data-table-card > header","3","src\wingman2\styles\wingman-workflow-theme.css"
"@media (min-width: 981px)","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
".wm-dashboard-destination-card:hover","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""compare""] .wm-compare-sku-header","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-pcc-shell-selection-mode .wm-pcc-product-grid","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""compare""] .wm-compare-match-requirements","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-product-family-workspace","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-data-editor textarea","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""compare""] .wm-compare-sku-workspace","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""compare""] .wm-compare-sku-lookup","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-settings-layout","3","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-hero","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-project-grid","3","src\wingman2\styles\wingman-style-stack.css"
".wm-data-manager-page","3","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""data-manager""] .wm-data-manager-header .wm-ui-kicker","3","src\wingman2\styles\wingman-workflow-theme.css"
"html body [data-wingman-product-tool-card=""true""] [data-wingman-product-tool-art=""true""]","3","src\wingman2\styles\wingman-product-tools-visual-weight.css"
"html body [data-wingman-product-tool-card=""true""] svg[data-wingman-product-tool-art=""true""]","3","src\wingman2\styles\wingman-product-tools-visual-weight.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell .wm-navhub-secondary-grid.wm-polish-grid","3","src\wingman2\styles\wingman-polish-navigation.css"
"html[data-wingman-route=""compare""] .wm-compare-sku-heading h2","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-data-search","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-catalog-results-head","3","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell .wm-polish-grid > .wm-navhub-card.wm-polish-card.wm-polish-card","3","src\wingman2\styles\wingman-polish-navigation.css"
".wm-product-family-products-header","2","src\wingman2\styles\wingman-style-stack.css"
"main.wm-settings-page .wm-settings-layout","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-hero-action","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-sku-grid","2","src\wingman2\styles\wingman-style-stack.css"
".wm-settings-header","2","src\wingman2\styles\wingman-style-stack.css"
".wm-route-call-coach .wm-hero-panel","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-text-block","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-list-block","2","src\wingman2\styles\wingman-style-stack.css"
".wm-button-primary[data-wm-accent]","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""call-coach""] .wm-hero-panel","2","src\wingman2\styles\wingman-style-stack.css"
".wm-route-call-coach main.wm-page > div > section","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker.is-active","2","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-hero-copy","2","src\wingman2\styles\wingman-style-stack.css"
".wingman-topbar-title span","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker:hover","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker-title","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker-copy","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wingman-workspace main.wm-page.wm-data-manager-page > .wm-data-toolbar","2","src\wingman2\styles\wingman-workflow-theme.css"
"main.wm-settings-page .wm-settings-layout > .wm-settings-column:first-child > .wm-output-panel:first-child","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker-title svg","2","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-page.wm-dashboard-shell","2","src\wingman2\styles\wingman-style-stack.css"
".wm-template-filter-group","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-nav-header h2","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-detail-header h2","2","src\wingman2\styles\wingman-style-stack.css"
"article)","2","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""]","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-more-body","2","src\wingman2\styles\wingman-style-stack.css"
".wm-custom-template-panel","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-products","2","src\wingman2\styles\wingman-style-stack.css"
".wm-custom-template-grid","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-detail-body","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-products-header h3","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-detail-header","2","src\wingman2\styles\wingman-style-stack.css"
"main.wm-settings-page .wm-section-card textarea","2","src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-copy","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-page .wm-product-family-picker-copy","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""call-coach""] .wm-page-hero","2","src\wingman2\styles\wingman-style-stack.css"
".wm-custom-template-panel .wm-action-row","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-page .wm-product-family-picker-title","2","src\wingman2\styles\wingman-style-stack.css"
".wm-route-call-coach .wm-page-hero","2","src\wingman2\styles\wingman-style-stack.css"
".wm-template-search","2","src\wingman2\styles\wingman-style-stack.css"
"main.wm-settings-page .wm-settings-layout > .wm-settings-column > .wm-section-card","2","src\wingman2\styles\wingman-style-stack.css"
".wm-route-call-coach main.wm-page > section:first-of-type","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""call-coach""] main.wm-page > section:first-of-type","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-more","2","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-projects-compact-hero","2","src\wingman2\styles\wingman-style-stack.css"
"[class*=""items-center""])","2","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-project-draft-state","2","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .wingman-page-hero .wingman-hero-actions","2","src\wingman2\styles\wingman-style-stack.css"
