"Selector","Occurrences","Files"
".wingman-workspace::before","7","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
"main.wingman-app-main","7","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-rules-grid","7","src\wingman2\styles\wingman-style-stack.css"
"#root > .wingman-shell","7","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-picker-list","7","src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-hero","7","src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-link","6","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"#root > .wingman-shell > .wingman-sidebar","6","src\wingman2\styles\wingman-style-stack.css"
".wm-navhub-hero","6","src\wingman2\styles\wingman-style-stack.css"
"main.wm-dashboard-shell[data-wingman-page=""home""] .wm-dashboard-grid","6","src\wingman2\styles\wingman-style-stack.css"
"main.wm-dashboard-shell[data-wingman-page=""home""] .wm-dashboard-project-grid","6","src\wingman2\styles\wingman-style-stack.css"
".wm-card","6","src\wingman2\styles\wingman-style-stack.css"
"section","6","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-detail","6","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-page.wm-dashboard-shell[data-wingman-page=""home""]","6","src\wingman2\styles\wingman-style-stack.css"
"h4)","6","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-rail-copy","6","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-destination-card","6","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-project-card","6","src\wingman2\styles\wingman-style-stack.css"
"p","6","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-rail-actions","6","src\wingman2\styles\wingman-style-stack.css"
".wm-section","6","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html","6","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-shell.wingman-authority-shell","6","src\wingman2\styles\wingman-style-stack.css"
"textarea","6","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-finder-results-panel","6","src\wingman2\styles\wingman-style-stack.css"
