"Path","TopFolder","Extension","Bytes","KB"
"public\product-docs\Audio\Product Training Brochure\Product Brochure -COM-MIC-HUB_V1.1_2025.3.31.pptx","public",".pptx","3521516","3438.98"
"public\product-docs\Video Processor\Product Training Brochure\Product Brochure--SW-0206-VW_V1.1_2025.3.31.pdf","public",".pdf","3490823","3409.01"
"archive\_wingman_backup_force_photo_context_cards_20260616-091625\wingman-style-stack.css.bak","archive",".bak","3455791","3374.8"
"public\product-docs\Matrix Solution\One Pager\MX-0812-SCL.pdf","public",".pdf","3386448","3307.08"
"archive\repo-cleanup-20260709-050830\root-artifacts\EasySchematic-master.zip","archive",".zip","3262449","3185.99"
"public\product-docs\NetworkHD AV over IP\NHD 100s\Product Training Brochure\NHD-128-NDI-TRX PPT.pptx","public",".pptx","3089336","3016.93"
"public\product-docs\Presentation and Conferencing\Product Training Brochure\CAM-420-PTZ Product Traning Brochure_V1.0_2025.12.pptx","public",".pptx","3067511","2995.62"
"archive\repo-cleanup-20260709-050830\root-artifacts\docs.zip","archive",".zip","2883692","2816.11"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_before_dashboard_redesign_revert_20260706-095756\staged.patch","archive",".patch","2877146","2809.71"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\focused-text-hygiene-and-build-fix.patch","archive",".patch","2623234","2561.75"
"public\product-docs\Presentation and Conferencing\One Pager\CAM-0402-NDI-BRG & CAM-0402-BRG.pdf","public",".pdf","2541699","2482.13"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_repair_20260701-164217\compareAutoIdentify.ts","archive",".ts","2442415","2385.17"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-compact-hover-20260707-190408.bak","archive",".bak","2269628","2216.43"
"public\product-docs\Presentation and Conferencing\One Pager\SW-640L-TX-W with DG2.pdf","public",".pdf","2093397","2044.33"
"archive\_wingman_backup_discovery_visual_cards_20260616-091351\wingman-style-stack.css.bak","archive",".bak","1998335","1951.5"
"reports\remaining-compare-workstream-20260613-144157\public_product-intelligence-index.json.diff.txt","reports",".txt","1979676","1933.28"
"reports\product-classification-audit-v2-2026-06-18T20-17-06-901Z.json","reports",".json","1895430","1851.01"
"public\product-docs\Matrix Solution\Product Training Brochure\Product Brochure -MX-0812-SCL V1.0_2025.3.13.pdf","public",".pdf","1851063","1807.68"
"archive\repo-cleanup-20260709-050830\root-artifacts\data.zip","archive",".zip","1703266","1663.35"
"public\product-docs\Unified Communication\Product Training Brochure\APO-VX20-UC v2 Product Training Brochure_V1.0_2026.4.pdf","public",".pdf","1671384","1632.21"
"public\product-docs\Presentation and Conferencing\Product Training Brochure\MX-0403-H3-MST Product Training Brochure_V1.0_2025.10.28.pdf","public",".pdf","1629263","1591.08"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-space-use-20260707-190115.bak","archive",".bak","1602673","1565.11"
"docs\design\wingman-av-workspace-global-design.png","docs",".png","1601037","1563.51"
"public\product-docs\USB Extender\Product Training Brochure\NHD-USB-TRX Product Training Brochure V1.0 2024.12.13.pdf","public",".pdf","1559882","1523.32"
"public\product-docs\Presentation and Conferencing\One Pager\CAM-420-PTZ.pdf","public",".pdf","1500207","1465.05"
"public\product-docs\Control System\Product Training Brochure\SYN-CTL-HUB Product Training Brochure_V1.0_2025.3.5.pdf","public",".pdf","1409236","1376.21"
"archive\repo-cleanup-20260709-050830\root-artifacts\data-sources.zip","archive",".zip","1394329","1361.65"
"docs\design\wingman-command-ui-concept.png","docs",".png","1370542","1338.42"
"archive\_wingman_backup_discovery_visual_cards_20260616-091054\wingman-style-stack.css.bak","archive",".bak","1336581","1305.25"
