"Path","TopFolder","Extension","Bytes","KB"
"tools\check-vendor-enrichment-freshness.mjs","tools",".mjs","4116","4.02"
"tools\check-documentation-contract.mjs","tools",".mjs","3997","3.9"
"tools\check-compare-trust-layer.mjs","tools",".mjs","3987","3.89"
"tools\check-compare-decision-workflow.mjs","tools",".mjs","3981","3.89"
"tools\dedupe-schema-drift-columns.mjs","tools",".mjs","3864","3.77"
"tools\check-wingman-migration-parity.mjs","tools",".mjs","3848","3.76"
"tools\check-hdbaset-avoip-classification.mjs","tools",".mjs","3771","3.68"
"tools\check-product-positioning-cards.mjs","tools",".mjs","3705","3.62"
"tools\check-compare-output-scenarios.mjs","tools",".mjs","3506","3.42"
"tools\repair-duplicate-jsx-classnames.mjs","tools",".mjs","3497","3.42"
"tools\check-mx0402-mst-resolution.mjs","tools",".mjs","3441","3.36"
"tools\check-short-workflow-pages.mjs","tools",".mjs","3349","3.27"
"tools\archive-wingman-stale-data.mjs","tools",".mjs","3303","3.23"
"tools\check-usb-path-validator.mjs","tools",".mjs","3246","3.17"
"tools\check-wingman-page-visual-classes.mjs","tools",".mjs","3208","3.13"
"tools\check-dashboard-reference-layout.mjs","tools",".mjs","3151","3.08"
"tools\check-focused-product-classifications.mjs","tools",".mjs","3073","3"
"tools\check-sales-facing-language.mjs","tools",".mjs","3068","3"
"tools\check-compare-source-repair.mjs","tools",".mjs","3060","2.99"
"tools\check-compare-page-candidate-gate.mjs","tools",".mjs","2982","2.91"
"tools\check-wingman-page-density.mjs","tools",".mjs","2957","2.89"
"tools\audit-competitor-intelligence.mjs","tools",".mjs","2902","2.83"
"tools\check-wyrestorm-lifecycle-manual-decisions.mjs","tools",".mjs","2793","2.73"
"tools\check-competitor-compare-decision.mjs","tools",".mjs","2775","2.71"
"tools\check-competitor-intelligence.mjs","tools",".mjs","2763","2.7"
"tools\audit-wingman-single-screen.mjs","tools",".mjs","2757","2.69"
"tools\check-visual-studio-react-flow-foundation.mjs","tools",".mjs","2746","2.68"
"tools\inspect-compare-workflow-shape.mjs","tools",".mjs","2663","2.6"
"tools\revert-unauthorized-competitor-approvals.mjs","tools",".mjs","2654","2.59"
"tools\audit-compare-output-quality.mjs","tools",".mjs","2648","2.59"
"tools\check-proposal-wizard.mjs","tools",".mjs","2629","2.57"
"tools\check-av-decision-evidence.mjs","tools",".mjs","2579","2.52"
"tools\check-sku-alias-resolver.mjs","tools",".mjs","2436","2.38"
"tools\check-trusted-tester-pack.mjs","tools",".mjs","2363","2.31"
"tools\check-discovery-topology.mjs","tools",".mjs","2345","2.29"
"tools\route-smoke-check.mjs","tools",".mjs","2327","2.27"
"tools\product-data-doctor.mjs","tools",".mjs","2323","2.27"
"tools\audit-product-pitch-tester-readiness.mjs","tools",".mjs","2289","2.24"
"tools\check-project-sync-readiness.mjs","tools",".mjs","2253","2.2"
"tools\check-compare-sku-auto-advance.mjs","tools",".mjs","2234","2.18"
"tools\check-optional-visual-support.mjs","tools",".mjs","2207","2.16"
"tools\dependency-audit-exceptions.json","tools",".json","2173","2.12"
"tools\check-discovery-reference-layout.mjs","tools",".mjs","2136","2.09"
"tools\check-mx0402-mst-resolution.mjs.20260722-091900.bak","tools",".bak","2077","2.03"
"tools\check-mx0402-mst-resolution.mjs.20260722-115941.bak","tools",".bak","2077","2.03"
"tools\check-duplicate-jsx-classnames.mjs","tools",".mjs","2060","2.01"
"tools\check-known-wyrestorm-matrix-profiles.mjs","tools",".mjs","2034","1.99"
"tools\check-finder-density.mjs.backup-20260710-141236","tools",".backup-20260710-141236","2028","1.98"
"tools\check-product-classification.mjs","tools",".mjs","1990","1.94"
"tools\check-compare-evidence-led-wording.mjs","tools",".mjs","1979","1.93"
"tools\dependency-audit-exceptions.json.20260725-134110.bak","tools",".bak","1910","1.87"
"tools\check-wingman-data-sources.mjs","tools",".mjs","1882","1.84"
"tools\check-visual-design-native-output.mjs","tools",".mjs","1865","1.82"
"tools\check-wingman-performance-guard.mjs","tools",".mjs","1848","1.8"
"tools\check-product-media-index.mjs","tools",".mjs","1832","1.79"
"tools\check-finder-density.mjs.backup-20260710-141324","tools",".backup-20260710-141324","1831","1.79"
"tools\check-matrix-output-model.mjs","tools",".mjs","1796","1.75"
"tools\check-call-cards-focused-workflow.mjs","tools",".mjs","1728","1.69"
"tools\run-trusted-tester-readiness.ps1","tools",".ps1","1655","1.62"
"tools\start-wingman-dev.mjs","tools",".mjs","1654","1.62"
"tools\check-wingman-hard-repair.mjs","tools",".mjs","1558","1.52"
"tools\check-wingman-repair-guard.mjs","tools",".mjs","1539","1.5"
"tools\check-compare-atlona-extender-gate.mjs","tools",".mjs","1480","1.45"
"tools\run-product-pitch-readiness.ps1","tools",".ps1","1358","1.33"
"tools\verify-chain.mjs","tools",".mjs","1321","1.29"
"tools\check-wingman-page-frames.mjs","tools",".mjs","1318","1.29"
"tools\check-call-coach-no-call-cards-loop.mjs","tools",".mjs","1292","1.26"
"tools\wingman-feature-surface-policy.json","tools",".json","1275","1.25"
"tools\repair-dashboard-style-drift.mjs","tools",".mjs","1155","1.13"
"tools\wingman-page-visual-classes-baseline.json","tools",".json","832","0.81"
"tools\stage-trusted-tester-pack.ps1","tools",".ps1","746","0.73"
"tools\wingman-size-budgets.json.20260806-130904.bak","tools",".bak","734","0.72"
"tools\wingman-size-budgets.json","tools",".json","734","0.72"
"tools\wingman-size-budgets.json.20260806-122837.bak","tools",".bak","716","0.7"
"tools\check-wingman-scenario-validation.mjs","tools",".mjs","652","0.64"
"tools\wingman-style-drift-baseline.json","tools",".json","321","0.31"
"tools\wyrestorm-technical-data-coverage-baseline.json","tools",".json","299","0.29"
"tools\setup-git-hooks.mjs","tools",".mjs","295","0.29"
