"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"archive\_wingman_backup_compare_v5_20260614-102800\src\wingman2\styles\wingman-style-stack.css","731.37","24169","7581","6","0","165"
"archive\_wingman_backup_compare_route_lock_20260614-102158\src\wingman2\styles\wingman-style-stack.css","731.37","24169","7581","6","0","165"
"archive\_wingman_backup_compare_result_styling_20260615-185918\wingman-style-stack.css","730.16","23897","7516","6","0","162"
"archive\_wingman_backup_discovery_strategy_fix_20260614-204612\wingman-style-stack.css","725.13","23761","7515","6","0","161"
"archive\_wingman_backup_discovery_guidance_commit_20260614-204418\wingman-style-stack.css","725.13","23761","7515","6","0","161"
"archive\_wingman_backup_discovery_density_20260614-205934\wingman-style-stack.css","725.13","23761","7515","6","0","161"
"archive\_wingman_backup_compare_visual_regex_fix_20260615-184847\wingman-style-stack.css","725.13","23761","7515","6","0","161"
"archive\_wingman_backup_compare_visual_repair_20260615-184740\wingman-style-stack.css","725.13","23761","7515","6","0","161"
"archive\_wingman_backup_discovery_guidance_fix_20260614-202337\wingman-style-stack.css","724.94","23752","7515","6","0","161"
"archive\_wingman_backup_sales_helper_direction_flow_20260614-095248\wingman-style-stack.css","723","23738","7581","6","0","163"
"archive\_wingman_backup_sales_helper_mic_capture_20260614-094542\wingman-style-stack.css","719.37","23620","7507","6","0","162"
"archive\_wingman_backup_discovery_capture_20260614-201732\wingman-style-stack.css","715.19","23321","7505","6","0","159"
"archive\_wingman_backup_sales_helper_wizard_20260614-094034\wingman-style-stack.css","714.68","23459","7427","6","0","160"
"archive\_wingman_backup_compare_workflow_cleanup_20260613-214444\src\wingman2\styles\wingman-style-stack.css","709.52","23172","7513","6","0","161"
"archive\_wingman_backup_sales_helper_layout_20260614-093841\wingman-style-stack.css","708.98","23162","7427","6","0","157"
"archive\_wingman_backup_clean_guru_compare_20260614-063638\wingman-style-stack.css","708.33","23146","7380","7","0","157"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css","708.29","25350","6795","6","3","155"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css","708.29","25350","6795","6","3","155"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css","708.29","25350","6795","6","3","155"
"src\wingman2\styles\wingman-style-stack.css","708.29","25350","6795","6","3","155"
